# L_thumb,L_index,L_middle,L_ring,L_pinky,L_wrist,R_thumb,R_index,R_middle,R_ring,R_pinky,R_wrist,label
0.0420,0.0396,0.0118,0.0000,0.0416,0.5041,1.0000,0.9091,0.0185,0.0188,0.0000,0.5144,2
0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,1.0000,0.9091,0.0000,0.0000,0.0000,0.5000,2
0.0061,0.0360,0.0000,0.0396,0.0286,0.5000,0.0477,0.0229,0.7731,0.0000,0.0000,0.5000,3
0.0000,0.0090,0.0044,0.0000,0.0000,0.5350,0.0158,0.0283,0.7940,0.0281,0.0000,0.5492,3
0.0000,0.0406,0.0000,0.0369,0.0000,0.5000,0.0500,0.0000,0.7996,0.0209,0.0000,0.5000,3
0.0289,0.0000,0.0323,0.0116,0.0002,0.5084,0.0018,0.0000,0.8000,0.0145,0.0000,0.5318,3
0.0000,0.0382,0.0000,0.0252,0.0000,0.5160,0.0000,0.0382,0.7805,0.0334,0.0111,0.5180,3
0.0000,0.0000,0.0099,0.0000,0.0000,0.5000,0.0000,0.0000,0.8000,0.0002,0.0000,0.5598,3
0.0067,0.0000,0.0127,0.0000,0.0000,0.5518,0.0000,0.0055,0.8000,0.0343,0.0000,0.5000,3
0.0000,0.0296,0.0163,0.0100,0.0011,0.5000,0.0000,0.0367,0.7603,0.0000,0.0000,0.5205,3
0.0518,0.0173,0.0038,0.0248,0.0211,0.5243,0.0493,0.0000,0.8000,0.0356,0.0000,0.5000,3
0.0166,0.0000,0.0000,0.0077,0.0000,0.5090,0.0029,0.0183,0.7867,0.0232,0.0102,0.5199,3
0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0311,0.0133,0.0000,0.8000,0.8696,1.0000,4
0.0000,0.0450,0.0009,0.0000,0.0000,0.5000,0.0291,0.0000,0.0395,0.7766,0.8406,1.0000,4
0.0000,0.0000,0.0360,0.0000,0.0000,0.5000,0.0000,0.0362,0.0000,0.7605,0.8696,1.0000,4
0.0000,0.0450,0.0191,0.0000,0.0000,0.5000,0.0263,0.0166,0.0165,0.8000,0.8656,1.0000,4
0.0000,0.0000,0.0000,0.0287,0.0029,0.5000,0.0071,0.0024,0.0000,0.8000,0.8696,1.0000,4
0.0379,0.0000,0.0386,0.0131,0.0285,0.5060,0.0220,0.0000,0.0208,0.8000,0.8420,1.0000,4
0.0397,0.0450,0.0000,0.0119,0.0000,0.5254,0.0000,0.0000,0.0335,0.8000,0.8696,1.0000,4
0.0000,0.0279,0.0000,0.0000,0.0328,0.5345,0.0445,0.0000,0.0007,0.8000,0.8516,1.0000,4
0.0308,0.0309,0.0260,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.8000,0.8696,1.0000,4
0.0000,0.0053,0.0393,0.0017,0.0000,0.5000,0.0000,0.0000,0.0000,0.8000,0.8328,1.0000,4
0.0000,0.0000,0.0090,0.0000,0.0097,0.5534,0.0000,0.0119,0.0199,0.8000,0.8696,0.5196,4
0.0000,0.0000,0.0253,0.0021,0.0000,0.5229,0.0000,0.0121,0.0170,0.8000,0.8696,0.5479,4
0.0235,0.0000,0.0000,0.0258,0.0000,0.5278,0.0000,0.0041,0.0000,0.7721,0.8696,0.5051,4
0.0000,0.0000,0.0114,0.0297,0.0082,0.5000,0.0000,0.0414,0.0157,0.8000,0.8693,0.5414,4
0.0000,0.0262,0.0000,0.0258,0.0000,0.5000,0.0008,0.0000,0.0355,0.8000,0.8696,0.5168,4
0.0000,0.0000,0.0398,0.0000,0.0000,0.5389,0.0403,0.0000,0.0107,0.8000,0.8696,0.5000,4
0.0000,0.0071,0.0066,0.0341,0.0000,0.5000,0.0085,0.0047,0.0053,0.8000,0.8696,0.5475,4
0.0323,0.0000,0.0000,0.0000,0.0000,0.5478,0.0000,0.0000,0.0136,0.7992,0.8326,0.5309,4
0.0381,0.0181,0.0152,0.0000,0.0000,0.5020,0.0000,0.0000,0.0262,0.8000,0.8696,0.5300,4
0.0336,0.0333,0.0000,0.0033,0.0059,0.5422,0.0000,0.0261,0.0229,0.7891,0.8575,0.5000,4
